State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,Smith Generating Facility,54,SCT6,,2023,989,866.61,47195.34,,0.198,0.001,38202.568,0.0591,10.313,0.0403,642543.111,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT6,,2024,994,864.41,48570.59,,0.202,0.0011,39178.444,0.0591,10.86,0.0407,659010.131,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT6,,2025,1549,1390.76,77599.41,,0.321,0.001,62812.226,0.0591,15.987,0.0365,1056699.507,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT6,,2026,778,711.59,45573.87,,0.179,0.001,35169.604,0.0591,9.66,0.0382,591709.317,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2022,1277,1130.32,68385.91,,0.5,0.0015,54264.43,0.0596,14.127,0.0385,905226.632,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2023,1063,922.6,50094.62,,0.212,0.001,40877.645,0.0591,10.93,0.04,687586.372,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2024,936,819.86,46081.84,,0.192,0.001,37358.243,0.0591,10.639,0.0411,628438.762,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2025,1527,1363.33,76600.75,,0.319,0.001,62091.104,0.0591,16.82,0.0384,1044487.676,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2026,838,765.83,48849.18,,0.192,0.001,37586.291,0.059,11.383,0.0417,632378.34,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2022,628,551.38,38382.85,,0.106,0.001,20959.595,0.0591,1.738,0.0137,352691.804,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2023,1858,1629.75,116134.49,,0.321,0.001,63641.774,0.0591,6.642,0.0152,1070897.637,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2024,1901,1685.5,118065.64,,0.329,0.001,65160.504,0.0591,6.954,0.015,1096417.27,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2025,2442,2185.66,153961.57,,0.433,0.001,85790.595,0.0591,9.22,0.0151,1443581.797,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2026,1142,1052.54,79780.31,,0.218,0.001,43183.575,0.059,4.425,0.0141,726657.208,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Big Sandy,1353,BSU1,,2022,3371,3356.35,536450.88,,13.578,0.005,313358.693,0.059,430.025,0.1397,5272827.921,Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Big Sandy,1353,BSU1,,2023,6653,6635.59,1227103.72,,30.22,0.005,697438.371,0.059,981.078,0.1465,11735727.14,Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Big Sandy,1353,BSU1,,2024,6567,6561.83,1156088.16,,28.477,0.005,657216.425,0.059,902.252,0.1437,11058942.36,Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Big Sandy,1353,BSU1,,2025,7299,7294.52,1268398.99,,31.694,0.005,731463.794,0.059,1023.433,0.1487,12308369.31,Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Big Sandy,1353,BSU1,,2026,3871,3869.44,662917.45,,16.464,0.005,379960.652,0.059,555.045,0.1533,6393594.281,Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,10,,2022,344,313.64,22902.34,,0.101,0.0015,18270.148,0.0591,15.608,0.1022,307381.015,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,10,,2023,58,47.6,3611,,0.097,0.01,2934.781,0.06,2.582,0.1076,49089.716,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,10,,2024,92,75.41,5093,,0.123,0.0049,4333.137,0.0595,3.806,0.1057,72549.691,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,10,,2025,188,169.78,10022.6,,0.151,0.0037,9432.458,0.0592,8.21,0.1042,158343.325,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,10,,2026,249,235.73,13308.02,,0.175,0.0017,12593.262,0.0591,10.347,0.0969,211515.764,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,11,,2022,266,236.07,16267.81,,0.947,0.0093,13548.72,0.0599,14.729,0.1325,224827.288,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,11,,2023,94,80.12,6632.24,,0.119,0.0065,5270.025,0.0596,5.643,0.1303,88344.926,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,11,,2024,92,72.97,4545.74,,0.066,0.0076,3899.427,0.0602,3.903,0.1214,65447.676,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,11,,2025,362,339.05,18593.48,,0.203,0.0027,16700.342,0.0592,17.162,0.1228,280578.481,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,11,,2026,253,225.51,16272.31,,0.163,0.0024,13362.932,0.0592,13.263,0.1196,224513.988,Pipeline Natural Gas,,Combustion turbine,Other,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,3,,2022,5537,5522,1135317.4,,362.917,0.0534,1233401.955,0.103,287.147,0.0474,12021482.8,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction,Wet Scrubber|Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
KY,E W Brown,1355,3,,2023,4668,4652.29,1035777.21,,361.002,0.0608,1111633.894,0.103,233.735,0.043,10834663.03,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction,Wet Scrubber|Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,E W Brown,1355,3,,2024,7802,7794.6,1536320.52,,658.386,0.0741,1707989.695,0.103,324.523,0.0383,16647001.02,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction,Wet Scrubber|Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,E W Brown,1355,3,,2025,7243,7239.14,1530561.12,,982.342,0.2543,1687260.914,0.103,387.199,0.046,16445030.21,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction,Wet Scrubber|Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,E W Brown,1355,3,,2026,3690,3685.85,795788.46,,351.313,0.0812,821579.346,0.103,177.481,0.0427,8007613.065,Coal,,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction,Wet Scrubber|Baghouse,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,E W Brown,1355,5,,2022,418,370.54,23970.88,,0.102,0.001,20257.183,0.059,14.396,0.0856,340864.907,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,5,,2023,124,100.05,7311.27,,0.03,0.001,5851.933,0.0591,4.131,0.0851,98472.893,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,5,,2024,291,250.33,19095.62,,0.078,0.001,15455.289,0.0589,10.618,0.0834,260068.668,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,5,,2025,620,562.15,34305.68,,0.15,0.001,29807.028,0.0591,21.453,0.0863,501574.962,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,5,,2026,491,450.6,32990.77,,0.137,0.001,27110.19,0.0589,17.633,0.0782,456174.745,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,6,,2022,943,893.73,112055.91,,0.365,0.001,72246.719,0.059,19.536,0.0319,1215698.633,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,E W Brown,1355,6,,2023,202,167.86,20116.48,,0.067,0.001,13229.988,0.059,3.54,0.0317,222620.427,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,E W Brown,1355,6,,2024,582,517.86,63987.91,,0.213,0.001,42278.088,0.059,13.739,0.0382,711416.974,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
