record_id,unit_key,dataset_id,reporting_year,operating_time,gross_load,steam_load,heat_input,co2_mass,so2_mass,nox_mass,so2_control,nox_control,pm_control,program_code
46,10,1,2022,NULL,536451,NULL,5272830,313359,13.578,430.025,NULL,"Low NOx Burner Technology (Dry Bottom only)|Overfire Air","Electrostatic Precipitator","ARP, CSNOX, CSOSG3, CSSO2G1"
47,10,1,2023,NULL,1227100,NULL,11735700,697438,30.22,981.078,NULL,"Low NOx Burner Technology (Dry Bottom only)|Overfire Air","Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1"
48,10,1,2024,NULL,1156090,NULL,11058900,657216,28.477,902.252,NULL,"Low NOx Burner Technology (Dry Bottom only)|Overfire Air","Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1"
49,10,1,2025,NULL,1268400,NULL,12308400,731464,31.694,1023.43,NULL,"Low NOx Burner Technology (Dry Bottom only)|Overfire Air","Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1"
50,10,1,2026,NULL,662917,NULL,6393590,379961,16.464,555.045,NULL,"Low NOx Burner Technology (Dry Bottom only)|Overfire Air","Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1"
51,11,1,2022,NULL,22902.3,NULL,307381,18270.1,0.101,15.608,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
52,11,1,2023,NULL,3611,NULL,49089.7,2934.78,0.097,2.582,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
53,11,1,2024,NULL,5093,NULL,72549.7,4333.14,0.123,3.806,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
54,11,1,2025,NULL,10022.6,NULL,158343,9432.46,0.151,8.21,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
55,11,1,2026,NULL,13308,NULL,211516,12593.3,0.175,10.347,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
56,12,1,2022,NULL,16267.8,NULL,224827,13548.7,0.947,14.729,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
57,12,1,2023,NULL,6632.24,NULL,88344.9,5270.02,0.119,5.643,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
58,12,1,2024,NULL,4545.74,NULL,65447.7,3899.43,0.066,3.903,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
59,12,1,2025,NULL,18593.5,NULL,280578,16700.3,0.203,17.162,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
60,12,1,2026,NULL,16272.3,NULL,224514,13362.9,0.163,13.263,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
61,13,1,2022,NULL,1135320,NULL,12021500,1233400,362.917,287.147,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
62,13,1,2023,NULL,1035780,NULL,10834700,1111630,361.002,233.735,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
63,13,1,2024,NULL,1536320,NULL,16647000,1707990,658.386,324.523,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
64,13,1,2025,NULL,1530560,NULL,16445000,1687260,982.342,387.199,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
65,13,1,2026,NULL,795788,NULL,8007610,821579,351.313,177.481,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
